id	label	gc annotated to disease	gc not annotated to disease	non-gc annotated to disease	non-gc not annotated to disease	p-value	p-value-correct
MONDO:0008316	thrombophilia due to protein C deficiency, autosomal dominant	9	206	20	13324	4.0777853774663906e-10	4.5316428899784e-06
MONDO:0008570	thyrotoxic periodic paralysis, susceptibility to, 1	9	206	20	13324	4.0777853774663906e-10	4.5316428899784e-06
MONDO:0019201	thyrotoxic periodic paralysis	9	206	20	13324	4.0777853774663906e-10	4.5316428899784e-06
MONDO:0014435	Bardet-Biedl syndrome 7	9	206	20	13324	4.0777853774663906e-10	4.5316428899784e-06
MONDO:0033365	epileptic encephalopathy, early infantile, 56	9	206	20	13324	4.0777853774663906e-10	4.5316428899784e-06
MONDO:0013228	spondylo-megaepiphyseal-metaphyseal dysplasia	14	201	84	13260	4.195550044738857e-10	4.662514764718292e-06
MONDO:0023113	familial colorectal cancer	11	204	41	13303	4.2156952369038545e-10	4.6849021167712534e-06
MONDO:0013926	hypogonadotropic hypogonadism 14 with or without anosmia	11	204	41	13303	4.2156952369038545e-10	4.6849021167712534e-06
MONDO:0014461	hypogonadotropic hypogonadism 22 with or without anosmia	11	204	41	13303	4.2156952369038545e-10	4.6849021167712534e-06
MONDO:0008200	autosomal dominant Parkinson disease 1	11	204	41	13303	4.2156952369038545e-10	4.6849021167712534e-06
MONDO:0008467	Czeizel-Losonci syndrome	11	204	41	13303	4.2156952369038545e-10	4.6849021167712534e-06
MONDO:0010064	spastic ataxia-corneal dystrophy syndrome	11	204	41	13303	4.2156952369038545e-10	4.6849021167712534e-06
MONDO:0021019	X-linked recessive ocular albinism	11	204	41	13303	4.2156952369038545e-10	4.6849021167712534e-06
MONDO:0017626	familial primary hypomagnesemia with normocalcuria	11	204	41	13303	4.2156952369038545e-10	4.6849021167712534e-06
MONDO:0011218	autosomal recessive congenital ichthyosis 11	11	204	41	13303	4.2156952369038545e-10	4.6849021167712534e-06
MONDO:0011772	B4GALT1-CDG	11	204	41	13303	4.2156952369038545e-10	4.6849021167712534e-06
MONDO:0009117	obsolete disorganization, mouse, homolog of	12	203	54	13290	4.311256396967747e-10	4.791099233950257e-06
MONDO:0009548	renal hypomagnesemia 5 with ocular involvement	12	203	54	13290	4.311256396967747e-10	4.791099233950257e-06
MONDO:0010277	syndromic X-linked intellectual disability Shashi type	12	203	54	13290	4.311256396967747e-10	4.791099233950257e-06
MONDO:0008083	neuronal ceroid lipofuscinosis 4B	10	205	30	13314	4.562318181530623e-10	5.0701041951349815e-06
MONDO:0015659	infectious disease with epilepsy	10	205	30	13314	4.562318181530623e-10	5.0701041951349815e-06
MONDO:0024318	viral infection of central nervous system	10	205	30	13314	4.562318181530623e-10	5.0701041951349815e-06
MONDO:0006009	viral encephalitis	10	205	30	13314	4.562318181530623e-10	5.0701041951349815e-06
MONDO:0010189	vitiligo, progressive, with mental retardation and urethral duplication	10	205	30	13314	4.562318181530623e-10	5.0701041951349815e-06
MONDO:0004609	herpes simplex infectious disease	10	205	30	13314	4.562318181530623e-10	5.0701041951349815e-06
MONDO:0012521	herpes simplex encephalitis	10	205	30	13314	4.562318181530623e-10	5.0701041951349815e-06
MONDO:0013284	immunodeficiency, common variable, 4	10	205	30	13314	4.562318181530623e-10	5.0701041951349815e-06
MONDO:0013811	combined oxidative phosphorylation defect type 9	10	205	30	13314	4.562318181530623e-10	5.0701041951349815e-06
MONDO:0010090	Summitt syndrome	15	200	102	13242	4.687779175098314e-10	5.209528997286757e-06
MONDO:0010757	widow'S peak syndrome	13	202	69	13275	4.744852679311067e-10	5.272954782518389e-06
MONDO:0011819	spinocerebellar ataxia type 19/22	13	202	69	13275	4.744852679311067e-10	5.272954782518389e-06
MONDO:0017178	osteochondritis dissecans (disease)	14	201	85	13259	4.818893426236058e-10	5.355236264576131e-06
MONDO:0018550	spastic paraplegia-optic atrophy-neuropathy and spastic paraplegia-optic atrophy-neuropathy-related disorder	14	201	85	13259	4.818893426236058e-10	5.355236264576131e-06
MONDO:0011408	hereditary spastic paraplegia 10	12	203	55	13289	5.179325928142297e-10	5.755784903944535e-06
MONDO:0013590	Stickler syndrome, type 4	12	203	55	13289	5.179325928142297e-10	5.755784903944535e-06
MONDO:0007120	aniridia-absent patella syndrome	11	204	42	13302	5.246480410031343e-10	5.8304136796678316e-06
MONDO:0007792	familial hypocalciuric hypercalcemia 2	11	204	42	13302	5.246480410031343e-10	5.8304136796678316e-06
MONDO:0009516	absence deformity of leg-cataract syndrome	11	204	42	13302	5.246480410031343e-10	5.8304136796678316e-06
MONDO:0011258	branchiootic syndrome 1	11	204	42	13302	5.246480410031343e-10	5.8304136796678316e-06
MONDO:0011399	alpha thalassemia	11	204	42	13302	5.246480410031343e-10	5.8304136796678316e-06
MONDO:0011646	laryngeal abductor paralysis with cerebellar ataxia and motor neuropathy	11	204	42	13302	5.246480410031343e-10	5.8304136796678316e-06
MONDO:0012923	congenital generalized lipodystrophy type 3	11	204	42	13302	5.246480410031343e-10	5.8304136796678316e-06
MONDO:0013172	polymicrogyria with optic nerve hypoplasia	11	204	42	13302	5.246480410031343e-10	5.8304136796678316e-06
MONDO:0007737	humeroradial synostosis (disease)	15	200	103	13241	5.296047244852129e-10	5.885497303204171e-06
MONDO:0009249	hereditary fructose intolerance	14	201	86	13258	5.525747567401327e-10	6.140763271653095e-06
MONDO:0007209	Weismann-Netter syndrome	13	202	70	13274	5.548179047819081e-10	6.165691375841344e-06
MONDO:0015385	external auditory canal aplasia/hypoplasia	9	206	21	13323	5.745822300825066e-10	6.385332322906896e-06
MONDO:0009082	high myopia-sensorineural deafness syndrome	9	206	21	13323	5.745822300825066e-10	6.385332322906896e-06
MONDO:0009724	nail-patella-like renal disease	9	206	21	13323	5.745822300825066e-10	6.385332322906896e-06
MONDO:0011986	tropical pancreatitis	9	206	21	13323	5.745822300825066e-10	6.385332322906896e-06
MONDO:0012996	AGAT deficiency	9	206	21	13323	5.745822300825066e-10	6.385332322906896e-06
MONDO:0013286	immunodeficiency, common variable, 6	9	206	21	13323	5.745822300825066e-10	6.385332322906896e-06
MONDO:0014230	candidiasis, familial, 8	9	206	21	13323	5.745822300825066e-10	6.385332322906896e-06
MONDO:0014268	combined immunodeficiency due to OX40 deficiency	9	206	21	13323	5.745822300825066e-10	6.385332322906896e-06
MONDO:0033046	Meier-Gorlin syndrome 8	9	206	21	13323	5.745822300825066e-10	6.385332322906896e-06
MONDO:0018264	oculocutaneous albinism type 6	10	205	31	13313	5.951167591268342e-10	6.613532544176509e-06
MONDO:0009158	Ehlers-Danlos syndrome, fibronectinemic type	10	205	31	13313	5.951167591268342e-10	6.613532544176509e-06
MONDO:0010403	albinism-deafness syndrome	10	205	31	13313	5.951167591268342e-10	6.613532544176509e-06
MONDO:0011352	neuroendocrine carcinoma of salivary glands, sensorineural hearing loss, and enamel hypoplasia	10	205	31	13313	5.951167591268342e-10	6.613532544176509e-06
MONDO:0011744	primary intraosseous venous malformation	10	205	31	13313	5.951167591268342e-10	6.613532544176509e-06
MONDO:0016223	infantile hemangioma of rare localization	10	205	31	13313	5.951167591268342e-10	6.613532544176509e-06
MONDO:0012635	COG8-CDG	10	205	31	13313	5.951167591268342e-10	6.613532544176509e-06
MONDO:0044725	combined immunodeficiency due to GINS1 deficiency	10	205	31	13313	5.951167591268342e-10	6.613532544176509e-06
MONDO:0013125	CLAPO syndrome	10	205	31	13313	5.951167591268342e-10	6.613532544176509e-06
MONDO:0005076	periodontitis	8	207	13	13331	5.980834028442751e-10	6.6465008558084295e-06
MONDO:0005593	chronic periodontitis	8	207	13	13331	5.980834028442751e-10	6.6465008558084295e-06
MONDO:0009674	muscular dystrophy, adult-onset, with leukoencephalopathy	8	207	13	13331	5.980834028442751e-10	6.6465008558084295e-06
MONDO:0009971	newborn respiratory distress syndrome	8	207	13	13331	5.980834028442751e-10	6.6465008558084295e-06
MONDO:0001208	acute respiratory failure	8	207	13	13331	5.980834028442751e-10	6.6465008558084295e-06
MONDO:0021113	respiratory failure	8	207	13	13331	5.980834028442751e-10	6.6465008558084295e-06
MONDO:0010339	X-linked epilepsy-learning disabilities-behavior disorders syndrome	8	207	13	13331	5.980834028442751e-10	6.6465008558084295e-06
MONDO:0013597	platelet-type bleeding disorder 14	8	207	13	13331	5.980834028442751e-10	6.6465008558084295e-06
MONDO:0014921	epileptic encephalopathy, early infantile, 43; EIEE43	8	207	13	13331	5.980834028442751e-10	6.6465008558084295e-06
MONDO:0011041	ectodermal dysplasia with natal teeth, Turnpenny type	12	203	56	13288	6.202282643385302e-10	6.892596701594086e-06
MONDO:0012092	hereditary sensory and autonomic neuropathy type 5	12	203	56	13288	6.202282643385302e-10	6.892596701594086e-06
MONDO:0014898	progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3; PEOB3	12	203	56	13288	6.202282643385302e-10	6.892596701594086e-06
MONDO:0007435	dentatorubral-pallidoluysian atrophy	13	202	71	13273	6.473202145783014e-10	7.193669544608663e-06
MONDO:0007956	Pai syndrome	13	202	71	13273	6.473202145783014e-10	7.193669544608663e-06
MONDO:0009001	macular coloboma-cleft palate-hallux valgus syndrome	13	202	71	13273	6.473202145783014e-10	7.193669544608663e-06
MONDO:0010551	Charcot-Marie-tooth disease X-linked recessive 3	13	202	71	13273	6.473202145783014e-10	7.193669544608663e-06
MONDO:0010481	angioedema	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0019623	hereditary angioedema	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0011042	Martinez-Frias syndrome	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0012181	hereditary spastic paraplegia 27	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0012588	neuronal ceroid lipofuscinosis 7	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0012789	dystonia 16	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0013490	megalencephalic leukoencephalopathy with subcortical cysts 2A	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0013772	congenital cataract-hearing loss-severe developmental delay syndrome	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0014350	Seckel syndrome 8	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0014788	autosomal recessive limb-girdle muscular dystrophy type 2W	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0014932	orofaciodigital syndrome XV	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0014940	neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset; NADGP	11	204	43	13301	6.497792887606282e-10	7.2209972359968614e-06
MONDO:0011533	temtamy preaxial brachydactyly syndrome	15	200	105	13239	6.734993755358162e-10	7.484598560329525e-06
MONDO:0009956	red skin pigment anomaly of new guinea	7	208	7	13337	7.140967239798527e-10	7.935756893588103e-06
MONDO:0009589	mesomelic dwarfism-cleft palate-camptodactyly syndrome	14	201	88	13256	7.230945332196532e-10	8.035749547670007e-06
MONDO:0017675	punctate palmoplantar keratoderma	12	203	57	13287	7.404289075743172e-10	8.228386449873387e-06
MONDO:0020096	autosomal recessive isolated diffuse palmoplantar keratoderma	12	203	57	13287	7.404289075743172e-10	8.228386449873387e-06
MONDO:0011183	Paget disease of bone 2, early-onset	12	203	57	13287	7.404289075743172e-10	8.228386449873387e-06
MONDO:0011334	limb-mammary syndrome	12	203	57	13287	7.404289075743172e-10	8.228386449873387e-06
MONDO:0013438	pontocerebellar hypoplasia type 2D	12	203	57	13287	7.404289075743172e-10	8.228386449873387e-06
MONDO:0013439	congenital bile acid synthesis defect 3	12	203	57	13287	7.404289075743172e-10	8.228386449873387e-06
MONDO:0013485	spinocerebellar ataxia type 35	12	203	57	13287	7.404289075743172e-10	8.228386449873387e-06
MONDO:0014559	progressive essential tremor-speech impairment-facial dysmorphism-intellectual disability-abnormal behavior syndrome	12	203	57	13287	7.404289075743172e-10	8.228386449873387e-06
MONDO:0009403	hypertelorism and tetralogy of fallot	13	202	72	13272	7.536217866840343e-10	8.374998915419673e-06
MONDO:0008237	phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome	17	198	145	13199	7.618044758658967e-10	8.46593314029771e-06
MONDO:0007766	Morgagni-Stewart-Morel syndrome	10	205	32	13312	7.70364539841955e-10	8.561061131263646e-06
MONDO:0008864	Biemond syndrome type 2	10	205	32	13312	7.70364539841955e-10	8.561061131263646e-06
MONDO:0009450	ciliary dyskinesia with excessively long cilia	10	205	32	13312	7.70364539841955e-10	8.561061131263646e-06
MONDO:0009625	microcephaly with spastic quadriplegia	10	205	32	13312	7.70364539841955e-10	8.561061131263646e-06
MONDO:0010928	dwarfism, familial, with muscle spasms	10	205	32	13312	7.70364539841955e-10	8.561061131263646e-06
MONDO:0013153	inflammatory bowel disease 28	10	205	32	13312	7.70364539841955e-10	8.561061131263646e-06
MONDO:0014278	immunodeficiency 18	10	205	32	13312	7.70364539841955e-10	8.561061131263646e-06
MONDO:0014996	intellectual disability, autosomal recessive 58; MRT58	10	205	32	13312	7.70364539841955e-10	8.561061131263646e-06
MONDO:0033043	spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy	10	205	32	13312	7.70364539841955e-10	8.561061131263646e-06
MONDO:0007313	cheilitis glandularis	9	206	22	13322	7.985783857758033e-10	8.874601601126502e-06
MONDO:0008079	neurofibromatosis-pheochromocytoma-duodenal carcinoid syndrome	9	206	22	13322	7.985783857758033e-10	8.874601601126502e-06
MONDO:0008665	ptosis-vocal cord paralysis syndrome	9	206	22	13322	7.985783857758033e-10	8.874601601126502e-06
MONDO:0009913	prune belly syndrome with pulmonic stenosis, mental retardation, and deafness	9	206	22	13322	7.985783857758033e-10	8.874601601126502e-06
MONDO:0011613	autosomal recessive early-onset Parkinson disease 6	9	206	22	13322	7.985783857758033e-10	8.874601601126502e-06
MONDO:0012056	Leber congenital amaurosis 9	9	206	22	13322	7.985783857758033e-10	8.874601601126502e-06
MONDO:0013539	hypotonia-failure to thrive-microcephaly syndrome	9	206	22	13322	7.985783857758033e-10	8.874601601126502e-06
MONDO:0013788	Usher syndrome type 3B	9	206	22	13322	7.985783857758033e-10	8.874601601126502e-06
MONDO:0013836	familial steroid-resistant nephrotic syndrome with sensorineural deafness	9	206	22	13322	7.985783857758033e-10	8.874601601126502e-06
MONDO:0014004	basal ganglia calcification, idiopathic, 4	9	206	22	13322	7.985783857758033e-10	8.874601601126502e-06
MONDO:0008078	neurofibromatosis, familial spinal	11	204	44	13300	8.010296997516023e-10	8.901843053339556e-06
MONDO:0008170	ovarian cancer	11	204	44	13300	8.010296997516023e-10	8.901843053339556e-06
MONDO:0000984	thalassemia	11	204	44	13300	8.010296997516023e-10	8.901843053339556e-06
MONDO:0009558	Treacher Collins syndrome 3	11	204	44	13300	8.010296997516023e-10	8.901843053339556e-06
MONDO:0004981	atrial fibrillation (disease)	11	204	44	13300	8.010296997516023e-10	8.901843053339556e-06
MONDO:0018054	familial atrial fibrillation	11	204	44	13300	8.010296997516023e-10	8.901843053339556e-06
MONDO:0020630	epileptic encephalopathy, infantile or early childhood, 1	11	204	44	13300	8.010296997516023e-10	8.901843053339556e-06
MONDO:0054791	leukodystrophy, hypomyelinating, 16	11	204	44	13300	8.010296997516023e-10	8.901843053339556e-06
MONDO:0004983	azoospermia	12	203	58	13286	8.812743746161218e-10	9.793602125108961e-06
MONDO:0008357	radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome	12	203	58	13286	8.812743746161218e-10	9.793602125108961e-06
MONDO:0009274	ghosal hematodiaphyseal dysplasia	12	203	58	13286	8.812743746161218e-10	9.793602125108961e-06
MONDO:0010385	X-linked lymphoproliferative syndrome 2	12	203	58	13286	8.812743746161218e-10	9.793602125108961e-06
MONDO:0011834	spinocerebellar ataxia type 18	12	203	58	13286	8.812743746161218e-10	9.793602125108961e-06
MONDO:0060641	neurodevelopmental disorder with or without seizures and gait abnormalities	12	203	58	13286	8.812743746161218e-10	9.793602125108961e-06
MONDO:0009763	obesity-hypoventilation syndrome	8	207	14	13330	9.271017914279295e-10	1.030288220813858e-05
MONDO:0011861	breath-holding Spells	8	207	14	13330	9.271017914279295e-10	1.030288220813858e-05
MONDO:0013883	congenital myasthenic syndrome 13	8	207	14	13330	9.271017914279295e-10	1.030288220813858e-05
MONDO:0014070	oculocutaneous albinism type 7	8	207	14	13330	9.271017914279295e-10	1.030288220813858e-05
MONDO:0007103	amyotrophic lateral sclerosis type 1	11	204	45	13299	9.830986762441926e-10	1.0925175589101713e-05
MONDO:0014107	hypogonadotropic hypogonadism 21 with or without anosmia	11	204	45	13299	9.830986762441926e-10	1.0925175589101713e-05
MONDO:0010709	early-onset parkinsonism-intellectual disability syndrome	11	204	45	13299	9.830986762441926e-10	1.0925175589101713e-05
MONDO:0000478	multifocal dystonia	11	204	45	13299	9.830986762441926e-10	1.0925175589101713e-05
MONDO:0013541	complex cortical dysplasia with other brain malformations 1	11	204	45	13299	9.830986762441926e-10	1.0925175589101713e-05
MONDO:0014131	hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome	11	204	45	13299	9.830986762441926e-10	1.0925175589101713e-05
MONDO:0060677	chromosome 1p35 deletion syndrome	11	204	45	13299	9.830986762441926e-10	1.0925175589101713e-05
MONDO:0007159	arthrogryposis-like hand anomaly-sensorineural deafness syndrome	10	205	33	13311	9.900244858825249e-10	1.1002142111612499e-05
MONDO:0009880	short stature-pituitary and cerebellar defects-small sella turcica syndrome	10	205	33	13311	9.900244858825249e-10	1.1002142111612499e-05
MONDO:0010895	ABCD syndrome	10	205	33	13311	9.900244858825249e-10	1.1002142111612499e-05
MONDO:0011755	SLSN3	10	205	33	13311	9.900244858825249e-10	1.1002142111612499e-05
MONDO:0012941	inflammatory bowel disease 25	10	205	33	13311	9.900244858825249e-10	1.1002142111612499e-05
MONDO:0014374	nephronophthisis 18	10	205	33	13311	9.900244858825249e-10	1.1002142111612499e-05
MONDO:0060666	hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome	10	205	33	13311	9.900244858825249e-10	1.1002142111612499e-05
MONDO:0014043	microcephalic primordial dwarfism due to ZNF335 deficiency	13	202	74	13270	1.015108613105053e-09	1.1280902017436454e-05
MONDO:0007861	isolated cloverleaf skull syndrome	12	203	59	13285	1.0458643560087368e-09	1.1622690588325093e-05
MONDO:0008820	arthrogryposis, distal, with hypopituitarism, mental retardation, and facial anomalies	12	203	59	13285	1.0458643560087368e-09	1.1622690588325093e-05
MONDO:0009147	ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive	12	203	59	13285	1.0458643560087368e-09	1.1622690588325093e-05
MONDO:0000184	congenital vitamin K-dependent coagulation factors combined deficiency	12	203	59	13285	1.0458643560087368e-09	1.1622690588325093e-05
MONDO:0010949	Charcot-Marie-tooth disease type 2B	12	203	59	13285	1.0458643560087368e-09	1.1622690588325093e-05
MONDO:0044724	3-methylglutaconic aciduria type 9	12	203	59	13285	1.0458643560087368e-09	1.1622690588325093e-05
MONDO:0010013	schneckenbecken dysplasia	16	199	128	13216	1.0502639521066575e-09	1.1671583299761284e-05
MONDO:0017744	disorder of O-xylosyl/N-acetylgalactosaminylglycan synthesis	16	199	128	13216	1.0502639521066575e-09	1.1671583299761284e-05
MONDO:0008806	Aphalangy-hemivertebrae-urogenital-intestinal dysgenesis syndrome	14	201	91	13253	1.0700593259536457e-09	1.1891569289322865e-05
MONDO:0009810	autosomal recessive distal osteolysis syndrome	14	201	91	13253	1.0700593259536457e-09	1.1891569289322865e-05
MONDO:0011383	autoimmune lymphoproliferative syndrome type 2A	14	201	91	13253	1.0700593259536457e-09	1.1891569289322865e-05
MONDO:0016569	rare lymphatic malformation	9	206	23	13321	1.0958888927333036e-09	1.2178613264945204e-05
MONDO:0009102	Diaminopentanuria	9	206	23	13321	1.0958888927333036e-09	1.2178613264945204e-05
MONDO:0009839	progressive supranuclear palsy-parkinsonism syndrome	9	206	23	13321	1.0958888927333036e-09	1.2178613264945204e-05
MONDO:0020488	atypical progressive supranuclear palsy syndrome	9	206	23	13321	1.0958888927333036e-09	1.2178613264945204e-05
MONDO:0010342	autism, susceptibility to, X-linked 3	9	206	23	13321	1.0958888927333036e-09	1.2178613264945204e-05
MONDO:0010841	Waardenburg syndrome type 2B	9	206	23	13321	1.0958888927333036e-09	1.2178613264945204e-05
MONDO:0013423	immunodeficiency due to MASP-2 deficiency	9	206	23	13321	1.0958888927333036e-09	1.2178613264945204e-05
MONDO:0013606	Hermansky-Pudlak syndrome 9	9	206	23	13321	1.0958888927333036e-09	1.2178613264945204e-05
MONDO:0014952	intellectual disability-epilepsy-extrapyramidal syndrome	9	206	23	13321	1.0958888927333036e-09	1.2178613264945204e-05
MONDO:0007126	spondyloarthropathy, susceptibility to, 1	11	204	46	13298	1.201399243638662e-09	1.335114979455645e-05
MONDO:0010237	X-linked intellectual disability-plagiocephaly syndrome	11	204	46	13298	1.201399243638662e-09	1.335114979455645e-05
MONDO:0011913	Alzheimer disease 3	11	204	46	13298	1.201399243638662e-09	1.335114979455645e-05
MONDO:0012462	autosomal recessive frontotemporal pachygyria	11	204	46	13298	1.201399243638662e-09	1.335114979455645e-05
MONDO:0009582	Mietens syndrome	17	198	150	13194	1.2237267151604245e-09	1.3599274985577797e-05
MONDO:0014290	neurodegeneration with brain iron accumulation 6	12	203	60	13284	1.2376978760357126e-09	1.3754536496384874e-05
MONDO:0054817	leukodystrophy, hypomyelinating, 17	12	203	60	13284	1.2376978760357126e-09	1.3754536496384874e-05
MONDO:0007099	familial visceral amyloidosis	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0007349	familial cold autoinflammatory syndrome 1	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0024529	MVP1	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0004910	mitral valve prolapse (disease)	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0016582	congenital mitral malformation	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0019817	congenital mitral valve insufficiency and/or stenosis	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0003767	mitral valve disease	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0042966	inherited mitral valve disease	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0008004	familial mitral valve prolapse	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0008889	thromboangiitis obliterans	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0009586	mesangial sclerosis, diffuse renal, with ocular abnormalities	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0013803	LCC	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0014532	autosomal dominant mitochondrial myopathy with exercise intolerance	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0044326	developmental delay and seizures with or without movement abnormalities	10	205	34	13310	1.2636161817933414e-09	1.4042566628269403e-05
MONDO:0009072	Dandy-Walker syndrome	13	202	76	13268	1.356458840787331e-09	1.507432709766961e-05
MONDO:0020134	cystic malformation of the posterior fossa	13	202	76	13268	1.356458840787331e-09	1.507432709766961e-05
MONDO:0008133	autosomal dominant optic atrophy and cataract	14	201	93	13251	1.379467315885848e-09	1.5330020281439428e-05
MONDO:0007486	hereditary benign intraepithelial dyskeratosis	8	207	15	13329	1.402283060686095e-09	1.5583571653404575e-05
MONDO:0009121	von Voss-Cherstvoy syndrome	8	207	15	13329	1.402283060686095e-09	1.5583571653404575e-05
MONDO:0014422	vesicoureteral reflux 8	8	207	15	13329	1.402283060686095e-09	1.5583571653404575e-05
MONDO:0030918	intellectual disability, autosomal dominant 52	8	207	15	13329	1.402283060686095e-09	1.5583571653404575e-05
MONDO:0004980	atopic eczema	12	203	61	13283	1.460716261108185e-09	1.623293980969526e-05
MONDO:0011245	ichthyosis, hystrix-like, with deafness	12	203	61	13283	1.460716261108185e-09	1.623293980969526e-05
MONDO:0014523	juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome	12	203	61	13283	1.460716261108185e-09	1.623293980969526e-05
MONDO:0024512	spondyloarthropathy, susceptibility to	11	204	47	13297	1.4621467040290309e-09	1.624883632187462e-05
MONDO:0005095	spondyloarthropathy	11	204	47	13297	1.4621467040290309e-09	1.624883632187462e-05
MONDO:0005853	malignant mixed neoplasm	11	204	47	13297	1.4621467040290309e-09	1.624883632187462e-05
MONDO:0009405	cervical hypertrichosis-peripheral neuropathy syndrome	11	204	47	13297	1.4621467040290309e-09	1.624883632187462e-05
MONDO:0010025	short stature-obesity syndrome	11	204	47	13297	1.4621467040290309e-09	1.624883632187462e-05
MONDO:0008983	chromosomal instability with tissue-specific radiosensitivity	9	206	24	13320	1.4862659916891065e-09	1.651687396564104e-05
MONDO:0010054	spinal muscular atrophy with mental retardation	9	206	24	13320	1.4862659916891065e-09	1.651687396564104e-05
MONDO:0010916	polycystic kidney disease 3	9	206	24	13320	1.4862659916891065e-09	1.651687396564104e-05
MONDO:0011519	autosomal dominant nonsyndromic deafness 23	9	206	24	13320	1.4862659916891065e-09	1.651687396564104e-05
MONDO:0011562	autosomal dominant Parkinson disease 4	9	206	24	13320	1.4862659916891065e-09	1.651687396564104e-05
MONDO:0014620	myoclonic dystonia 26	9	206	24	13320	1.4862659916891065e-09	1.651687396564104e-05
MONDO:0014955	retinal dystrophy with or without extraocular anomalies; RDEOA	9	206	24	13320	1.4862659916891065e-09	1.651687396564104e-05
MONDO:0030920	intellectual disability, autosomal dominant 54	9	206	24	13320	1.4862659916891065e-09	1.651687396564104e-05
MONDO:0009594	metaphyseal chondrodysplasia, Kaitila type	15	200	112	13232	1.5066017830119032e-09	1.674286561461128e-05
MONDO:0020495	peho-like syndrome	13	202	77	13267	1.5635316514128751e-09	1.737552724215128e-05
MONDO:0005477	ventricular tachycardia	10	205	35	13309	1.6023429737519211e-09	1.78068374673051e-05
MONDO:0009892	Chuvash polycythemia	10	205	35	13309	1.6023429737519211e-09	1.78068374673051e-05
MONDO:0020115	secondary polycythemia	10	205	35	13309	1.6023429737519211e-09	1.78068374673051e-05
MONDO:0016540	congenital secondary polycythemia	10	205	35	13309	1.6023429737519211e-09	1.78068374673051e-05
MONDO:0018101	familial primary hypomagnesemia with normocalciuria and normocalcemia	10	205	35	13309	1.6023429737519211e-09	1.78068374673051e-05
MONDO:0013874	glucocorticoid deficiency 4	10	205	35	13309	1.6023429737519211e-09	1.78068374673051e-05
MONDO:0060611	combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia	10	205	35	13309	1.6023429737519211e-09	1.78068374673051e-05
MONDO:0015149	pure hereditary spastic paraplegia	17	198	153	13191	1.6130302730091333e-09	1.7925605423950497e-05
MONDO:0009406	hypertrichotic osteochondrodysplasia Cantu type	19	196	198	13146	1.6385211441024878e-09	1.8208885474410946e-05
MONDO:0007232	autosomal dominant brachyolmia	12	203	62	13282	1.7193498073855059e-09	1.9107134409475126e-05
MONDO:0008264	autosomal dominant medullary cystic kidney disease with or without hyperuricemia	12	203	62	13282	1.7193498073855059e-09	1.9107134409475126e-05
MONDO:0007329	cirrhosis, familial	11	204	48	13296	1.7724558491958707e-09	1.969730185211371e-05
MONDO:0008551	thoracolaryngopelvic dysplasia	11	204	48	13296	1.7724558491958707e-09	1.969730185211371e-05
MONDO:0011437	microcephaly 4, primary, autosomal recessive	11	204	48	13296	1.7724558491958707e-09	1.969730185211371e-05
